"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"6/5/2020, Pacific Time",728022,768134,465166,-178616
CAL,"6/6/2020, Pacific Time",637533,649424,407255,-153354
CAL,"6/7/2020, Pacific Time",598053,599938,368979,-162927
CAL,"6/8/2020, Pacific Time",689336,690497,434070,-183923
CAL,"6/9/2020, Pacific Time",792025,772992,521129,-181366
CAL,"6/10/2020, Pacific Time",873844,829692,600169,-178346
CAL,"6/11/2020, Pacific Time",867204,849175,588518,-189388
CAL,"6/12/2020, Pacific Time",754469,756782,490458,-189029
CAL,"6/13/2020, Pacific Time",664534,655885,424810,-170516
CAL,"6/14/2020, Pacific Time",660476,645592,416089,-183369
CAL,"6/15/2020, Pacific Time",751854,745531,486452,-188549
CAL,"6/16/2020, Pacific Time",731312,731838,485155,-177221
CAL,"6/17/2020, Pacific Time",744567,761957,476104,-195212
CAL,"6/18/2020, Pacific Time",775756,793382,505132,-193685
CAL,"6/19/2020, Pacific Time",783357,777457,506602,-195202
CAL,"6/20/2020, Pacific Time",732498,730039,465267,-192425
CAL,"6/21/2020, Pacific Time",729996,742546,484736,-184463
CAL,"6/22/2020, Pacific Time",833020,838679,562896,-197030
CAL,"6/23/2020, Pacific Time",856867,848512,582623,-192243
CAL,"6/24/2020, Pacific Time",860945,855669,580124,-195669
CAL,"6/25/2020, Pacific Time",855979,861149,576913,-197459
CAL,"6/26/2020, Pacific Time",859646,849467,568223,-202068
CAL,"6/27/2020, Pacific Time",797427,769809,557295,-161435
CAL,"6/28/2020, Pacific Time",679423,686950,474167,-137551
CAL,"6/29/2020, Pacific Time",737336,741986,481378,-187698
CAL,"6/30/2020, Pacific Time",786053,755227,475241,-233319
CAL,"7/1/2020, Pacific Time",787030,778139,478648,-222630
CAL,"7/2/2020, Pacific Time",778042,786047,485044,-217507
CAL,"7/3/2020, Pacific Time",761165,726789,484593,-201620
CAL,"7/4/2020, Pacific Time",771065,763659,483756,-206775
CAL,"7/5/2020, Pacific Time",794488,795636,532181,-192105
CAL,"7/6/2020, Pacific Time",856484,861580,602856,-177217
CAL,"7/7/2020, Pacific Time",848717,847980,588058,-187836
CAL,"7/8/2020, Pacific Time",853667,852170,592791,-185165
CAL,"7/9/2020, Pacific Time",873447,877347,598387,-196490
CAL,"7/10/2020, Pacific Time",917565,906950,648477,-188895
CAL,"7/11/2020, Pacific Time",931013,885923,659636,-188171
