"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"7/25/2016, Pacific Time",1030792,1014493,856318,-174486
CAL,"7/26/2016, Pacific Time",1071580,1027867,863175,-208410
CAL,"7/27/2016, Pacific Time",1086421,1069023,908680,-177745
CAL,"7/28/2016, Pacific Time",1071154,1086775,908230,-162933
CAL,"7/29/2016, Pacific Time",1070397,1072066,891695,-178708
CAL,"7/30/2016, Pacific Time",988198,971566,751789,-236423
CAL,"7/31/2016, Pacific Time",916447,908605,691804,-224660
CAL,"8/1/2016, Pacific Time",983579,968189,749727,-233867
CAL,"8/2/2016, Pacific Time",983662,960114,742296,-241380
CAL,"8/3/2016, Pacific Time",979096,977283,754140,-224969
CAL,"8/4/2016, Pacific Time",943008,945230,742746,-200273
CAL,"8/5/2016, Pacific Time",917789,908731,700974,-216827
CAL,"8/6/2016, Pacific Time",852145,825813,638638,-213517
CAL,"8/7/2016, Pacific Time",826201,808041,628293,-197926
CAL,"8/8/2016, Pacific Time",908500,913662,684240,-224271
CAL,"8/9/2016, Pacific Time",916892,911614,682166,-234704
CAL,"8/10/2016, Pacific Time",919567,909837,685850,-233729
CAL,"8/11/2016, Pacific Time",923029,911708,703636,-219404
CAL,"8/12/2016, Pacific Time",946247,926782,748925,-197335
CAL,"8/13/2016, Pacific Time",928949,911225,734238,-194733
CAL,"8/14/2016, Pacific Time",942720,926520,745939,-196801
CAL,"8/15/2016, Pacific Time",1021699,1045114,842269,-179442
CAL,"8/16/2016, Pacific Time",1000912,1033152,836733,-164189
CAL,"8/17/2016, Pacific Time",990657,1012217,797132,-193536
CAL,"8/18/2016, Pacific Time",969575,969061,773808,-195773
CAL,"8/19/2016, Pacific Time",946543,946252,746787,-199763
CAL,"8/20/2016, Pacific Time",865816,866826,678382,-187454
CAL,"8/21/2016, Pacific Time",836499,826764,633602,-202911
CAL,"8/22/2016, Pacific Time",914387,920790,696646,-217753
CAL,"8/23/2016, Pacific Time",914194,909759,708501,-205701
CAL,"8/24/2016, Pacific Time",915709,922591,720461,-195260
CAL,"8/25/2016, Pacific Time",894091,906219,706722,-187388
CAL,"8/26/2016, Pacific Time",853064,873993,670408,-182675
CAL,"8/27/2016, Pacific Time",786644,795905,572922,-213739
CAL,"8/28/2016, Pacific Time",794273,792316,614977,-179301
CAL,"8/29/2016, Pacific Time",916805,906418,714907,-201916
CAL,"8/30/2016, Pacific Time",962182,965049,733614,-228580
CAL,"8/31/2016, Pacific Time",959837,962387,730117,-229736
CAL,"9/1/2016, Pacific Time",919566,927201,691148,-228358
CAL,"9/2/2016, Pacific Time",878093,887680,645684,-232426
CAL,"9/3/2016, Pacific Time",769596,776026,565933,-203672
CAL,"9/4/2016, Pacific Time",707372,739726,529740,-177639
CAL,"9/5/2016, Pacific Time",728303,765804,546478,-181830
CAL,"9/6/2016, Pacific Time",836353,860699,621052,-215311
CAL,"9/7/2016, Pacific Time",884002,901432,642824,-241188
CAL,"9/8/2016, Pacific Time",874466,862667,661078,-213393
CAL,"9/9/2016, Pacific Time",870911,859768,682373,-188544
CAL,"9/10/2016, Pacific Time",817846,827716,627088,-190773
CAL,"9/11/2016, Pacific Time",768935,775849,594343,-174603
CAL,"9/12/2016, Pacific Time",795713,808720,612211,-150118
CAL,"9/13/2016, Pacific Time",766788,775137,591234,-175569
CAL,"9/14/2016, Pacific Time",774754,780086,590972,-183794
CAL,"9/15/2016, Pacific Time",791430,797680,593626,-197814
CAL,"9/16/2016, Pacific Time",808999,808196,594906,-214106
CAL,"9/17/2016, Pacific Time",791574,806088,563369,-228216
CAL,"9/18/2016, Pacific Time",826808,826748,602722,-224104
CAL,"9/19/2016, Pacific Time",919359,925143,680725,-238647
CAL,"9/20/2016, Pacific Time",904351,921420,667827,-236538
CAL,"9/21/2016, Pacific Time",876646,867145,665106,-211553
CAL,"9/22/2016, Pacific Time",791848,805161,614419,-177439
CAL,"9/23/2016, Pacific Time",773672,797989,579480,-194202
CAL,"9/24/2016, Pacific Time",768149,802589,546665,-221506
CAL,"9/25/2016, Pacific Time",813844,842491,602691,-211171
CAL,"9/26/2016, Pacific Time",968439,965848,725800,-242653
CAL,"9/27/2016, Pacific Time",963116,973705,713165,-249957
CAL,"9/28/2016, Pacific Time",937159,916207,696873,-240307
CAL,"9/29/2016, Pacific Time",910903,881806,689553,-221377
CAL,"9/30/2016, Pacific Time",867968,842299,637999,-229991
CAL,"10/1/2016, Pacific Time",759780,763391,574869,-184937
CAL,"10/2/2016, Pacific Time",697284,696085,549518,-147787
CAL,"10/3/2016, Pacific Time",749267,756634,563874,-185413
CAL,"10/4/2016, Pacific Time",754168,762813,592056,-162134
CAL,"10/5/2016, Pacific Time",753251,758104,585495,-167776
CAL,"10/6/2016, Pacific Time",761418,777291,587075,-174369
CAL,"10/7/2016, Pacific Time",789176,806602,608973,-180228
CAL,"10/8/2016, Pacific Time",748944,758570,582736,-166237
CAL,"10/9/2016, Pacific Time",737084,743851,565436,-171679
CAL,"10/10/2016, Pacific Time",797653,800226,617141,-180547
CAL,"10/11/2016, Pacific Time",762241,779543,622573,-139694
CAL,"10/12/2016, Pacific Time",745051,758996,612258,-132819
CAL,"10/13/2016, Pacific Time",748925,755344,592709,-156237
CAL,"10/14/2016, Pacific Time",752118,747883,598123,-154025
CAL,"10/15/2016, Pacific Time",702723,691037,557736,-145031
